"Sl No","Stock","Delivery Vol  Avg Month","Delivery Vol  Avg Week","Delivery% Vol  Avg Week","Delivery Vol  Prev EOD","Delivery% Vol  Avg Month","Delivery Vol  EOD","Delivery% Vol  Prev EOD","Delivery% Vol  EOD","Latest Financial Result","Net Profit 3Y Growth %","PEG TTM","Net Profit QoQ Growth %","Rev  Growth Qtr YoY %","Revenue QoQ Growth %","Durability Score","Momentum Score","1Y Low","1Y High","LTP","MF holding current Qtr %","Total Debt to Total Equity Ann ","Net Profit Ann  YoY Growth %","FII holding current Qtr %","Institutional holding current Qtr %","Promoter holding latest %","Sector","Piotroski Score","Market Cap","PE TTM","ROE Ann  %","NSE Code","BSE Code","ISIN"
"1","National Aluminium ","4851979.37","4542910.6","46.41","2393955","36.66","4537975","41.5","50.68","2025-12-31","78.49","0.29","11.55","1.47","10.22","85","76.09","149","445.15","441.5","6.24","0.01","164.93","22.27","33.02","51.28","Metals & Mining","9","81087.29","13.2","29.58","NATIONALUM","532234","INE139A01034"
"2","Jayaswal Neco Ind","3989092.84","5328270.8","33.11","10455370","38.49","8588325","26.38","38.94","2026-03-31","104.13","0.07","157.62","17.85","14.3","75","72.6","34.9","111.2","109.81","0.14","0.74","311","0.9","1.2","55.15","Metals & Mining","8","10662.53","23.02","16.29","JAYNECOIND","522285","INE854B01010"
"3","Indus Towers","3522160.53","3292473.6","49.34","2147468","54.89","3143568","59.01","31.14","2025-12-31","55.84","-0.53","-3.45","7.94","-0.51","75","47.6","312.55","481.5","413.95","14.08","0.07","64.54","25.1","44.78","51.26","Telecom Services","7","109206.75","15.31","30.56","INDUSTOWER","534816","INE121J01017"
"4","Hindustan Zinc","2639565.21","4012704.2","35.9","7555148","38.43","3483471","33.72","48.39","2026-03-31","31.6","0.56","28.52","49.05","23.35","80","66.02","398","733","616.1","1.27","0.36","33.6","2.39","35.15","60.71","Metals & Mining","9","260321.9","18.82","61.12","HINDZINC","500188","INE267A01025"
"5","Engineers India","2342746.42","2749682","37.72","5503927","33.87","1685660","33.06","40.7","2025-12-31","315.55","0.21","315.84","58.29","31.36","75","65.5","163.55","264.6","256.54","10.57","0","30.21","9.66","21.89","51.32","Commercial Services & Supplies","7","14418.64","18.58","21.72","ENGINERSIN","532178","INE510A01028"
"6","Jammu & Kashmir Bank","2113205.32","2174010.6","48.06","1929982","41.01","2535338","47.74","47.31","2025-12-31","320.69","14.78","17.49","3.28","0.67","70","59.25","87.3","135","128.52","3.89","0.18","17.53","8.35","14.35","59.4","Banking and Finance","7","14152.4","6.6","16.05","J&KBANK","532209","INE168A01041"
"7","PTC","1387176.68","1515013.6","53.23","2183050","55.48","3159731","57.88","49.28","2025-12-31","77.86","0.21","-40.35","-0.45","-37.62","90","59.36","149.59","207","205.71","3.33","0.51","88.78","27.46","38.36","16.22","Utilities","8","6089.19","7.15","15.5","PTC","532524","INE877F01012"
"8","EPL","817106.37","500240.2","54.88","330900","46.71","582679","42.08","59.62","2025-12-31","67.44","0.36","-21.67","13.26","-4.74","80","50.71","176.4","254","225.34","6.98","0.29","68.39","17.22","27.42","26.38","Commercial Services & Supplies","7","7216.52","18.03","15.24","EPL","500135","INE255A01020"
"9","Chennai Petroleum","785438.53","1274179.6","24.62","1147621","25.41","1723469","34.17","25.48","2026-03-31","-12.14","0","41.96","-2.5","7.23","85","71.44","587.1","1103","1072.3","1.58","0.18","1349.25","12.59","14.7","67.29","Oil & Gas","7","15967.77","5.15","27.92","CHENNPETRO","500110","INE178A01016"
"10","Gokul Agro Resources","338177.84","664854.6","9.76","365769","15.17","344238","24.49","37.95","2025-12-31","99.81","0.92","-23.18","26.58","-4.88","65","67.11","106.3","246","225.11","0.08","0.51","80.89","1.51","1.6","74.24","FMCG","8","6642.7","22.2","23.7","GOKULAGRO","539725","INE314T01033"
"11","Dynamic Cables","150732.95","171111.4","41.04","236102","40.18","129420","55.33","48.11","2025-12-31","109.78","0.42","14.19","18.79","6.11","80","52.73","236.8","526.75","383.41","0","0.16","71.61","0.9","2.17","68.18","Consumer Durables","7","1857.95","22.16","17.33","DYCL","540795","INE600Y01019"
"12","GE Power","147269.58","235367.8","100","238952","100","304872","100","100","2025-12-31","170.29","0.04","123.49","21.69","37.47","85","74.06","212.4","585.45","585.45","0.15","0","218.48","1.26","2.78","68.58","General Industrials","8","3935.83","12.96","64.1","GVPIL","532309","INE878A01011"
"13","Indosolar","123028.37","150282.4","100","110253","65.45","118189","100","100","2026-03-31","-77.19","0.02","1.27","-56.72","-58.35","80","63.95","165.07","725","449.85","0","0","350.15","0.55","0.68","74.93","Consumer Durables","8","1871.54","7.59","85.92","WAAREEINDO","533257","INE866K01023"
"14","SRM Contractors","103332.89","72051.2","43.61","49062","41.3","21404","51.55","48.53","2025-12-31","213.09","0.13","20.02","53.69","12.12","85","54.64","298.35","649.95","526.45","0","0.15","103.97","0.43","1.54","72.59","Cement and Construction","7","1207.9","14.91","19.96","SRM","544158","INE0R6Z01013"
"15","GPT Infraprojects","88185.95","63204","49.58","43059","51.56","37942","45.56","51.27","2025-12-31","228.96","0.57","-7.57","2.11","1.89","80","59.54","96.22","149.8","113.6","4.07","0.24","38.42","2.72","9.75","69.37","Cement and Construction","8","1435.5","16.01","15.29","GPTINFRA","533761","INE390G01014"
"16","Sumeet Industries","71735.32","79036","56.73","47494","56.51","62780","52.87","52.35","2025-12-31","5743.26","-57.04","-8.32","6.02","-0.88","85","45.78","10.66","40.5","30.03","0","0.46","388.52","0.01","0.01","89.83","Textiles Apparels & Accessories","7","1580.56","16.72","110.11","SUMEETINDS","514211","INE235C01036"
"17","Mayur Uniquoters","42868.58","36038.4","59.61","25129","60.69","22166","56.83","55.17","2025-12-31","58.2","0.58","24.21","13.96","-1.18","90","54.67","449.1","629.9","563.9","2.3","0.01","21.9","3.68","7.33","58.77","Textiles Apparels & Accessories","7","2450.29","14.1","15.62","MAYURUNIQ","522249","INE040D01038"
"18","Pokarna","40883.89","25061","53.32","15466","41.97","15176","47.71","51.11","2025-12-31","139.53","-1.18","221.64","-39.65","13.93","75","60.45","692.6","1146.2","910","11.21","0.42","114.68","6.9","22.87","56.66","Cement and Construction","8","2821.36","24.77","24.1","POKARNA","532486","INE637C01025"
